sku,category,reviews_count,,sku,category,average_rating,,,
FX5938,Shoes,59,,FX5938,Shoes,4.8,,,
S23979,Shoes,18,,S23979,Shoes,4.8,,,
FZ2929,Shoes,241,,FZ2929,Shoes,4.6,,,
S23667,Shoes,21,,S23667,Shoes,4.5,,,
FY5680,Shoes,454,,FY5680,Shoes,4.4,,,
H00515,Shoes,146,,H00515,Shoes,4.6,,,
H00521,Shoes,146,,H00521,Shoes,4.6,,,
H00519,Shoes,146,,H00519,Shoes,4.6,,,
GY0127,Shoes,21,,GY0127,Shoes,4.5,,,
HD9084,Clothing,15,,HD9084,Clothing,4.9,,,
FX6655,Shoes,275,,FX6655,Shoes,4.5,,,
GZ5355,Shoes,762,,GZ5355,Shoes,4.5,,,
H00512,Shoes,146,,H00512,Shoes,4.6,,,
H01399,Shoes,83,,H01399,Shoes,4.8,,,
GW4852,Shoes,31,,GW4852,Shoes,4.8,,,
FX6658,Shoes,275,,FX6658,Shoes,4.5,,,
H02124,Shoes,83,,H02124,Shoes,4.8,,,
H00511,Shoes,146,,H00511,Shoes,4.6,,,
FZ2267,Shoes,60,,FZ2267,Shoes,3.9,,,
S42717,Shoes,275,,S42717,Shoes,4.5,,,
H02110,Shoes,83,,H02110,Shoes,4.8,,,
GT0135,Clothing,20,,GT0135,Clothing,3.7,,,
FZ2268,Shoes,60,,FZ2268,Shoes,3.9,,,
H02119,Shoes,83,,H02119,Shoes,4.8,,,
H02111,Shoes,83,,H02111,Shoes,4.8,,,
H15775,Clothing,5,,H15775,Clothing,4.2,,,
H20236,Clothing,5,,H20236,Clothing,4.2,,,
GT0186,Clothing,41,,GT0186,Clothing,4.7,,,
H25298,Clothing,154,,H25298,Clothing,4.9,,,
GN3064,Accessories,132,,GN3064,Accessories,4.7,,,
H33570,Clothing,239,,H33570,Clothing,4.8,,,
H00429,Shoes,1,,H00429,Shoes,5,,,
EX6532,Accessories,51,,EX6532,Accessories,5,,,
GN3430,Clothing,33,,GN3430,Clothing,4.2,,,
H17991,Accessories,7,,H17991,Accessories,4.6,,,
GV9695,Shoes,7291,,GV9695,Shoes,4.7,,,
EX6530,Accessories,51,,EX6530,Accessories,5,,,
FY8836,Shoes,84,,FY8836,Shoes,4.8,,,
H22615,Clothing,16,,H22615,Clothing,4.8,,,
H04549,Shoes,838,,H04549,Shoes,4.7,,,
H39787,Clothing,67,,H39787,Clothing,4.6,,,
EY1191,Accessories,12,,EY1191,Accessories,4.8,,,
